id,op_id,op_name,type,action,action_extend,member_id,member_level,content_id,content_title,reason,cpm_factor,extend,quality,life,create_time,id,member_id,content_id,detail,create_time,update_time
62274660,1280,自动过审,2,pass,,511173,0,1014068866,《东宫》开播，陈星旭彭小苒上演催泪奇缘,Group,[],[],2,0,2019-02-16 00:06:30,31171865,511173,1014068866,"<p><img data-src=""http://static.1sapp.com/image/p/2019/02/15/1550189411337288.jpg"" data-size=""608,295"" alt=""29.jpg""></p><p>    改编匪我思存《东宫》的电视剧已于昨日上映了，真是挑了一个浪漫的日子，小枫和小五一起陪你浪漫过节，你有没有守着看呢。</p><p><img data-src=""http://static.1sapp.com/image/p/2019/02/15/1550189411387214.jpg"" data-size=""608,524"" alt=""38.jpg""></p><p>    众多周知匪我思存的文都是后妈类型的，《东宫》也不例外，想起当初看文时的揪心也是很难忘了。网文改编成电视剧的热潮一起，就有些担心自己喜欢的小说被翻牌了，拍得好还好，拍不好毁了心目中的感觉就会很难受了。</p><p><img data-src=""http://static.1sapp.com/image/p/2019/02/15/1550189411337122.jpg"" data-size=""608,312"" alt=""22.jpg""></p><p>    《东宫》讲述的是西凉九公主小枫和太子李承鄞之间的感情纠葛。</p><p>    小枫少时与父亲到京觐见天子，古灵精怪的小枫偶然结识了少年李承鄞，两人又一起卷进了麻烦漩涡，有了患难的交情。少时的情谊已随着时间渐渐淡忘了，长大后的小枫再一次回到中原的时候却是以和亲的身份，两人见面已不相识。</p><p><img data-src=""http://static.1sapp.com/image/p/2019/02/15/1550189412541002.jpg"" data-size=""608,265"" alt=""23.jpg""></p><p>    李承鄞中原豊朝太子，曾化名顾小五接近小枫，但却被小枫所吸引并爱上小枫。两人因为种种原因跳下忘川从此两相忘，之后和小枫成为有名无实的政治夫妇。两人在相处中又为对方所吸引，渐渐产生了感情。</p><p><img data-src=""http://static.1sapp.com/image/p/2019/02/15/1550189412817634.jpg"" data-size=""608,295"" alt=""29.jpg""></p><p>    最终两人恢复了记忆，但横亘在中间的国仇家恨却不是那么容易消逝的，小枫会如何选择，李承鄞又会如何选择，完美的结局大家都期待，且看电视剧如何改编吧。小编希望不要太脱离原文就好了。</p>",2018-08-13 10:58:39,2019-02-15 08:10:13
44504629,964,单春梅,2,pass,recommend,904552,1,1020963215,历届金鹰女神：仙剑四美中只有她没有当选，网友：欠她一个说法,,[],[],2,1,2018-10-14 00:15:59,38066214,904552,1020963215,"<p><img data-src=""http://static.1sapp.com/image//p/2018/10/14/1539447211235106.jpg"" data-size=""720,543"" alt=""1.jpg""></p><p>神仙姐姐刘亦菲是第一届金鹰女神，当时的她刚出演完《仙剑奇侠传》，深受观众们的喜爱，也是当之无愧的女神，那一年的她才只有19岁，青涩的她登上这个巨大的舞台却一点也不怯场，造型不够颜值凑，真的是女神中的女神。</p><p><img data-src=""http://static.1sapp.com/image//p/2018/10/14/1539447212504469.jpg"" data-size=""651,657"" alt=""2.jpg""></p><p>第二届女神李小璐，李小璐当年也是影后，童星出道的她被钦点为金鹰女神，不过服装和造型还是略显浮夸的，有点像泰国的礼服啊，但当时的她还是很受欢迎的。</p><p><img data-src=""http://static.1sapp.com/image//p/2018/10/14/1539447213406790.jpg"" data-size=""720,852"" alt=""3.jpg""></p><p>出演《奋斗》的王珞丹带火了米莱头，成了众多女生效仿的对象，她的金鹰造型还带了一双翅膀，有着将中国电视剧发扬光大的寓意。</p><p><img data-src=""http://static.1sapp.com/image//p/2018/10/14/1539447214566088.jpg"" data-size=""720,795"" alt=""4.jpg""></p><p>最受关注的就是刘诗诗，那是第一届网友票选出来的金鹰女神，当时的她因为《步步惊心》大火，而她也出演过《仙剑奇侠传三》中的龙葵，那一年她踩着金鹰唱着歌从远方飞来，也是唯一一位“开口”的金鹰女神，不过服装真的是不是很喜欢啊。</p><p><img data-src=""http://static.1sapp.com/image//p/2018/10/14/1539447215828186.jpg"" data-size=""690,831"" alt=""5.jpg""></p><p>赵丽颖的服装可以说是最美的一届了，当年的她因为《陆贞传奇》当选，后来又为我们贡献了好几部优质的电视剧，赵丽颖也是当之无愧的收视女王！</p><p><img data-src=""http://static.1sapp.com/image//p/2018/10/14/1539447216377529.jpg"" data-size=""690,757"" alt=""6.jpg""></p><p>唐嫣是第6届金鹰女神，她的金鹰女神华服尤为华丽，当时的她拍摄了《何以笙箫默》火遍全国，她在《仙剑奇侠传三》饰演的紫萱，也让人记忆深刻。</p><p><img data-src=""http://static.1sapp.com/image//p/2018/10/14/1539447217104701.jpg"" data-size=""640,685"" alt=""7.jpg""></p><p>今年的金鹰女神角逐十分激烈，迪丽热巴最终以40万的优势当选，这是第一位90后金鹰女神，代表了青春活力，尽管今年的服装有些不太合身，更是被吐槽显得迪丽热巴胳膊很粗，但因为她的盛世美颜，也弥补了服饰的不足。</p><p><img data-src=""http://static.1sapp.com/image//p/2018/10/14/1539447218900421.jpg"" data-size=""683,789"" alt=""8.jpg""></p><p>但看到这里，最让人心疼的就是杨幂了，这几年每次要选金鹰女神时，都有人会提及她，但仙剑四美中竟然只有她没有当选过金鹰女神，不免让人有些质疑。在娱乐圈中杨幂的影响力还是很大的，也是一线流量大花，粉丝也是不计其数，网友们都觉得湖南卫视欠杨幂一个金鹰女神。</p><p><img data-src=""http://static.1sapp.com/image//p/2018/10/14/1539447218454921.jpg"" data-size=""870,987"" alt=""9.jpg""></p><p>而今年迪丽热巴当选金鹰女神后，也是证明杨幂不会在当选，还有很多人说金鹰女神的标准是未婚，杨幂结婚早了。不过自家艺人都当选了，杨幂也取得了金鹰节的视后，也是非常高的荣誉了，以后的金鹰女神应该也会是90后的一线小花了，希望下一次杨紫能够当选，毕竟也是非常符合的，大家觉得呢？</p><p><img data-src=""http://static.1sapp.com/image//p/2018/10/14/1539447219224334.jpg"" data-size=""690,790"" alt=""10.jpg""></p>",2018-10-14 00:13:40,2018-10-14 00:13:40
44504759,925,杨铭,2,deny,,471427,3,1020963524,建在悬崖上的寺庙，历经千年依然能支撑不倒，真实原因是这样,旧文重复,,[],0,1,2018-10-14 00:19:08,38066523,471427,1020963524,"<p>悬空寺：位於北岳恒山脚下的金龙峡，距大同市约80公里，是我国五岳名山之一的北岳恒山十八景中最独特的一景，号称恒山第一胜景。</p><p><img data-src=""http://static.1sapp.com/lw/img/2018/10/14/ce1b5c874e61af6713569afa20a321ee"" data-size=""361,190"" /></p><p>在中国众多的寺庙中，这座悬空寺称得上是奇妙的建筑。一般寺庙都建在平地上，但这座悬空寺却是名副其实，建在悬崖峭壁上，悬在半空之中，其设计思想可谓真绝，其建筑艺术可谓真高。这里山势陡峻，两边是直立百余米、如同斧劈刀削一般的悬崖，悬空寺就建在这悬崖上，或者说像是粘贴的悬崖上似的，真有凌空欲飞之势，惊险奇特，别具一格。远远望去，只见神楼仙宫，凌空危挂。丹廊朱户，傍崖飞栖，仿佛是玲拢的雕刻镶嵌在万仞峭壁间。游人登临，钻天窗，穿石窟，跨栈道，步长廊，如临仙境。这些建筑都集中一个凹进的庞大崖龛里，每逢暴雨倾盆，雨水从寺顶突出的岩头上飞流直下，泻入谷底，便给这琼楼仙阁挂上了一排排晶莹的水帘，蔚为奇观。给人一种可望而不可即的感觉。</p><p><img data-src=""http://static.1sapp.com/lw/img/2018/10/14/572418a434446b898f4bca34744f78d6"" data-size=""500,325"" /></p><p>独特的建筑特色和令人匪夷所思的古代人类智慧使悬空寺这一古老华夏文明的奇葩熠熠生辉。整座寺院上载危崖，下临深谷，背岩依龛，以“奇、险、巧、奥”为基本特色，体现在建筑之奇、结构之巧、选址之险、文化多元、内涵深奥，建寺初衷可谓超常脱俗，实为世界一绝。</p><p><img data-src=""http://static.1sapp.com/lw/img/2018/10/14/40e2a2d4867bfec679f7094cde57ae8f"" data-size=""533,250"" /></p><p>四十间殿楼的分布，对称中有变化，分散中有联络，曲折回环，虚实相生，小巧玲珑，布局紧凑，错落相依。整体格局既不同于平川寺院的中轴突出，左右对称，也不同于山地宫观依山势逐步升高，而是巧依崖壁凹凸，审形度势，顺其自然，凌空而构。远望，悬空寺像一幅玲珑剔透的浮雕，镶嵌在万仞峭壁间；近看，殿阁撺掇大有凌空欲飞之势，令人叹为观止。古代劳动人民究竟倾注了怎样的智慧才得以成就这一集建筑学、力学、美学、宗教学等为一体的伟大建筑，至今仍吸引着众多的学者、观瞻者们探究、求索的目光。</p><p><img data-src=""http://static.1sapp.com/lw/img/2018/10/14/fd356978b56a88681a68f31e2a425255"" data-size=""368,190"" /></p><p>悬空寺历经千年柱子不到的原因就是——全寺40间殿阁，表面看上去支撑它们的是十几根碗口粗的木柱，其实有的木柱根本不受力，而真正的重心 撑在坚硬岩石里，利用力学原理半插飞梁为基。所以有人用“悬空寺，半天高，三根马尾空中吊”来形容悬空寺。</p><p><img data-src=""http://static.1sapp.com/lw/img/2018/10/14/4d8fa8b2cf5e82f3e467a98f4f224ef2"" data-size=""500,283"" /></p><p>悬空寺始建至今，地处历代兵家必争之地的恒山，不但没有遭到破坏，而且历代都加以维修、完善(悬空寺的现貌是保存了金大定18年修缮后的基本原貌)，足以说明天下渴望和平的无穷力量</p>",2018-10-14 00:18:05,2018-10-14 00:18:05
44607656,697,王云云,2,deny,,856440,1,1021057024,“最美幼师”火了，貌美如花撞脸baby，网友：幼儿园还招生吗？,旧文重复,,[],0,1,2018-10-15 00:13:55,38160023,856440,1021057024,"<p>成功“上位”的替身，韩东君曾替吴奇隆滑雪，贾静雯男替获金像奖</p><p><img data-src=""http://static.1sapp.com/image//p/2018/10/15/1539586243678237.jpg"" data-size=""637,389"" alt=""1.jpg""></p><p>相信大家平时都特别喜欢看一些影视作品，但是在这些影视作品中，除了每天能够面对镜头光鲜亮丽的演员之外，还有另外一个职业，他们特别辛苦，但是却没有让观众记住自己的机会，他们就是替身演员。替身演员基本都是代替明星拍摄一些比较危险的戏份，很少出镜，但是也确实有一些替身演员逆袭，成功“上位”，这次小编就带大家一起来看一看。</p><p><img data-src=""http://static.1sapp.com/image//p/2018/10/15/1539586243194585.jpg"" data-size=""518,336"" alt=""2.jpg""></p><p>相信说到天王刘德华的名字，大家应该无人不知了，其实刘德华不仅作为歌手特别出色，在演艺方面也是有很高的成就。而他有一位很特别的替身，这个替身跟他长得十分相似，所以也是他的御用替身。他的名字叫做杜奕衡，而且杜奕衡这么多年来帮助华仔完成了很多高难度的动作和镜头，特别的优秀。</p><p><img data-src=""http://static.1sapp.com/image//p/2018/10/15/1539586244256047.jpg"" data-size=""637,357"" alt=""3.jpg""></p><p>而刘德华对于自己的这位替身也是十分感谢，介绍了很多的导演，让他有更多机会可以拍戏。现在他也正式的成为了一名演员。杜奕衡现在的发展也是一直顺风顺水，先后拍摄了很多优秀的影视作品，相信用不了多久也能在影视行业有自己的一番属于自己的天地。</p><p><img data-src=""http://static.1sapp.com/image//p/2018/10/15/1539586245248935.jpg"" data-size=""453,292"" alt=""4.jpg""></p><p><img data-src=""http://static.1sapp.com/image//p/2018/10/15/1539586245252520.jpg"" data-size=""639,332"" alt=""5.jpg""></p><p><img data-src=""http://static.1sapp.com/image//p/2018/10/15/1539586246383495.jpg"" data-size=""510,308"" alt=""6.jpg""></p><p>其实除了这些和演员相同性别的替身之外，有很多女演员在拍摄打戏或者是危险镜头的时候，都需要一些男性来给自己做替身，就比如贾静雯。贾静雯之前也拍摄了很多的武装武侠作品，而之前在拍摄《小李飞刀》的时候，因为武术太过复杂，所以启用了替身，这位替身在后来不仅获得了金像奖的最佳男配，还娶了一位特别有人气的美女明星，他就是张晋。张晋凭借在《一代宗师》中的精彩表现，获得了最佳男配，而且和蔡少芬两个人现在也是十分甜蜜，简直堪称人生赢家。</p>",2018-10-15 00:03:30,2018-10-15 14:50:47
44607798,697,王云云,2,deny,,1310843,1,1021057139,jasper和小妹妹的合影被嫌弃，Jasper 尴尬而不失礼,旧文重复,,[],0,1,2018-10-15 00:16:51,38160138,1310843,1021057139,"<p><img data-src=""http://static.1sapp.com/qupost/image/20181015/ac/ac678f020848d157fa6157965b398128258780b3.jpg"" data-size=""460,613"" alt=""""></p><p>10月14日，应采儿在微博晒出三张jasper和小妹妹的合影，并配文：“被嫌弃的Jasper 尴尬而不失礼帽的微笑…… ”</p><p><img data-src=""http://static.1sapp.com/qupost/image/20181015/e4/e4abc7d6c9bda559383ad6168db19000b6d02d60.jpg"" data-size=""460,613"" alt=""""></p><p>照片中，小妹妹一脸“嫌弃”低头看地，或干脆翻起了白眼。</p><p><img data-src=""http://static.1sapp.com/qupost/image/20181015/0e/0e502fcab944b41c9db1d6d4efc2c380a89dd04a.jpg"" data-size=""460,613"" alt=""""></p><p>而jasper双手插兜，露出了尴尬的笑容。</p><p><img data-src=""http://static.1sapp.com/qupost/image/20181015/f9/f93c0e0f71b90b0c4c65d58135026084e500b7bd.jpg"" data-size=""460,202"" alt=""""></p><p>10月14日，应采儿在微博晒出三张jasper和小妹妹的合影，并配文：“被嫌弃的Jasper 尴尬而不失礼帽的微笑…… ”</p>",2018-10-15 00:05:20,2018-10-15 00:05:20
44607536,925,杨铭,2,pass,recommend,976521,1,1021057237,《红楼梦》中王熙凤对刘姥姥的态度有怎样的变化？,,[],[],2,1,2018-10-15 00:10:30,38160236,976521,1021057237,"<p>从轻慢到由衷尊重，王熙凤对刘姥姥的态度为何会有这样的转变？王熙凤为人善于逢迎，第一次刘姥姥来，见她穿那样，人那样，土里土气一农村老太太，一脸谄媚，爱搭不理的。第二次来贾母喜欢呢，王熙凤为投贾母所好平日也花不少心思，今个巧了，正对贾母心思，爱听老人讲古话。刘姥姥成了为贾母开心的一个包袱。王熙凤为搏贾母欢心，让她开心，好好利用一下刘姥姥。贾母不是喜欢听吗?就让她好好讲笑话，刘姥姥还讲的不错，可以说比相声演员表演还招笑，一群人都笑成什么样了。王熙凤这个主持人当得不错。贾母也看出是王熙凤弄得鬼。</p><p><img data-src=""http://static.1sapp.com/qupost/image/20181015/9d/9d04ad32233424b6308bc5599f7f12c9012d7bfa.jpg"" data-size=""490,331"" alt=""""></p><p>而且刘姥姥言语行止，即使农村人也是深黯人心世故之人，不是王熙凤虽为贵家年轻可以赶得上的。刘姥姥一句我就你们家，礼出大家。一句话人心明白着呢?把人际关系，人心也看出来了。王熙凤要让她讲笑话逗贾母欢喜，刘姥姥极其配合，捉弄她她也做了。在妙玉那喝茶，一句这茶淡了，从容。在林黛玉与惜春，宝钗屋子决不多言。有分寸。说酒令能随机应变不是一无所知的农村人。</p><p><img data-src=""http://static.1sapp.com/qupost/image/20181015/96/967b8ecb157d575e8c23ce1cbcaf13ca78bf9c0a.jpg"" data-size=""510,368"" alt=""""></p><p>刘姥姥是冲王夫人来的，与她也有关。而且因为她来说是还席史湘云，多是因为刘姥姥，贾母给王夫人面子，投儿媳妇来的人厚待，王熙凤伶俐哪能看不出。从年老人身上看出为人处事之道。贾母答应给刘姥姥两匹纱。年轻的王熙凤有虚傲的一面，在长者面前踏实下来，一视同仁。</p><p><img data-src=""http://static.1sapp.com/qupost/image/20181015/eb/eb4a99b6d428ac813e4790e3661e9210d3594fb6.jpg"" data-size=""640,490"" alt=""""></p><p>让刘姥姥给女儿取名，刘姥姥取巧哥，刘姥姥也对其能在贾府做客两天受益于贾母，对王熙凤以巧字起名，也有言说她起初为人之意。刘姥姥从内心感谢的是贾母。日后巧姐落了难，是王熙凤送了她物，也更因为巧姐是贾家人，是贾家子孙，也有王氏血缘。她受了贾家人厚代，也受了王夫人王氏子孙厚代，从哪方面，刘姥姥都觉应救。</p>",2018-10-15 00:06:47,2018-10-15 00:06:47
44607900,926,俞光胜,2,pass,recommend,1445815,1,1021057485,曾是抖音一姐，拥有粉丝无数，如今却面临赔偿巨款高达2.5亿。,,[],[],2,1,2018-10-15 00:19:03,38160484,1445815,1021057485,"<p><img data-src=""http://static.1sapp.com/image/p/2018/10/15/1539532996735705.jpg"" data-size=""427,428"" alt=""5.jpg""></p><p>作为抖音界一姐莉哥我想大家可能都听说过吧，曾经的她可谓是风光无限，凭借自己独特的嗓音和说唱的方法瞬间在抖音界走红，但最近相信她的是的子肯定不会好过，因为在直播期间因不注意自己的态度乱唱国歌，而且还将这一段直播的视频当成自己所谓的网络音乐中的曲目，这种无知无畏的行为受到了谴责和舆论，这样的行为就连央视新闻都进行了报道。</p><p><img data-src=""http://static.1sapp.com/image/p/2018/10/15/1539532977671007.jpg"" data-size=""639,374""></p><p><img data-src=""http://static.1sapp.com/image/p/2018/10/15/1539532977505941.jpg"" data-size=""675,591""></p><p>社会的谴责和舆论瞬间将莉哥推向了与舆论的最高点，当她自己知道闯了大祸时也在微博中连发两次道歉的声明，而且还关了微博的评论。面对她的道歉网友们完全不买账，在这样的形势下虎牙的平台也无奈封禁他的直播间，其他平台也删除他的所有作品，这样的行为也就预示将被封杀。</p><p><img data-src=""http://static.1sapp.com/image/p/2018/10/15/1539533005191398.jpg"" data-size=""581,581"" alt=""4.jpg""></p><p>莉哥签约的虎牙平台没多长的时间，既然虎牙不能通过莉哥直播来挣钱，也就预示将会赔偿这个平台的损失，这一平台更不可能将5000万的签约费白白浪费，为此有懂法律的网友给他算了算，如果要追究的话要赔偿的金额高达2.5亿，对于一个小主播来说这样的金额倾家荡产也赔不起。</p><p><img data-src=""http://static.1sapp.com/image/p/2018/10/15/1539533017338859.jpg"" data-size=""427,428"" alt=""5.jpg""><img data-src=""http://static.1sapp.com/image/p/2018/10/15/1539533283642352.jpg"" data-size=""619,481"" alt=""6.jpg""></p>",2018-10-15 00:13:26,2018-10-15 00:13:26
44608383,1560,朱墨,2,deny,,914895,1,1021057728,38岁女演员现状，自曝老公曾为了养她放弃做演员，只为4000块工资,旧文重复,,[],0,1,2018-10-15 00:28:53,38160727,914895,1021057728,"<p>大家都知道，起初在TFBOYS三小只中，易烊千玺绝对算得上是长相最不出众的一个。早期的时候，易烊千玺在组合里的受关注度也是相对低的，那时候他的气场还没有长开，最多算是笑起来可爱一点。再加上话讲也少名气也不如现在。再加上单眼皮和嘴型与牙的缺陷就会明显放大，都会使人们觉得他就是个很普通的孩子，就是放在人群里也不会出众的那种。</p><p><img data-src=""http://static.1sapp.com/image//p/2018/10/15/1539589741192012.jpg"" data-size=""571,324"" alt=""1.jpg""></p><p><img data-src=""http://static.1sapp.com/image//p/2018/10/15/1539589741566767.jpg"" data-size=""594,347"" alt=""2.jpg""></p><p>易烊千玺长开后，绝对是耐看的长相。一旦你某天突然觉得他有点帅，get到了他一点点帅点，你就会越来越觉得他好看，越来越觉得他帅。然后你就会觉得，哎我以前怎么没觉得他这么好看呢。有很多后来的粉丝和路人粉都是这样。以前觉得他最不起眼，现在觉得他最帅。他长相最大的优点：五官立体而成熟。</p><p><img data-src=""http://static.1sapp.com/image//p/2018/10/15/1539589742818386.jpg"" data-size=""633,389"" alt=""3.jpg""></p><p>最近的芭莎慈善晚宴刚刚结束，易烊千玺是整个晚会最小的艺人。走红毯时，主持人给他的称号是“国民爱豆”以及“青年演员”，不能不说这两个称号都非常适合他。如今出道五年，易烊千玺已经拥有了近6000万的粉丝，  走到哪里都自带流量。商业价值也是每年都有新高度，易烊千玺的粉丝们也都很厉害，群体日益壮大，他们随着易烊千玺也做了很多正能量的事情。</p><p><img data-src=""http://static.1sapp.com/image//p/2018/10/15/1539589743480613.jpg"" data-size=""750,653"" alt=""4.jpg""></p><p>如今的千玺已经是彻彻底底的大明星了，大家都知道他是年少成名，非常不容易，出道时没有出众的外貌，一步步走来，完全是凭借自己的努力，成为一个越来越优秀的人。但是即使是明星，走下舞台也只是一个平凡人，也需要得到大家的尊重，但是往往就是有人打着喜欢他的名义，又不尊重他。</p><p><img data-src=""http://static.1sapp.com/image//p/2018/10/15/1539589745224220.jpg"" data-size=""584,352"" alt=""5.jpg""></p><p>就在芭莎慈善晚会结束的时候，千玺跟工作人员一起离开，外面有很多的粉丝和路人。当时的易烊千玺穿着一件棉服走在路上，这时候有一个穿着绿色衣服的人，伸手去抓易烊千玺的衣服，而且抓了好几次，试图把易烊千玺拉住。</p><p><img data-src=""http://static.1sapp.com/image//p/2018/10/15/1539589745773317.gif"" data-size=""152,235"" alt=""6.GIF""></p><p>千玺身边的工作人员也发现了这个女生，就搂住易烊千玺的背，这时候这个人才松了手。有的人会觉得这是一件很小的事情，但是其实这件事情很严重。因为千玺是大明星，出来的时候外面有很多路人和粉丝，秩序本来就乱，很多人拿着摄像机去拍他，千玺连门都出不去。这个时候如果有人把他拽倒了，就很可能到一大片，这个时候如果发生事故，这个责任谁去承担呢？</p><p><img data-src=""http://static.1sapp.com/image//p/2018/10/15/1539589746926389.jpg"" data-size=""537,542"" alt=""7.jpg""></p><p>这样的粉丝跟私生饭没有什么区别，私生饭就是喜欢随时随地的监视明星，偷拍明星，还要向全世界炫耀。但是这样的爱是没有人能接受的，真心爱易烊千玺的人，肯定会懂得尊重他，只远远的看着他就够了。绝对不会去伸手碰他拽他的，毕竟千玺也有自己的人生自由。</p><p><img data-src=""http://static.1sapp.com/image//p/2018/10/15/1539589746459020.jpg"" data-size=""643,372"" alt=""8.jpg""></p><p>正所谓喜欢是放肆，爱是克制。如果真心爱他，就应该克制一点自己，把自己变得跟他一样优秀，而不是去打扰生活中的他。</p>",2018-10-15 00:17:37,2018-10-15 15:49:07
44607851,1576,宋晓强,2,pass,recommend,806577,3,1021057729,客厅装修不要买茶几了，聪明人都爱这样设计,,[],[],2,1,2018-10-15 00:18:03,38160728,806577,1021057729,"<p>相信现在很多买房的人都在挑选的小户型房子吧，毕竟房价高居不下，能买得起房的已经是很了不起了，即使是小户型房子，也需要花费大半辈子的积蓄才能够买到的。所以很多人在家庭装修上也是花费了不少的精力，希望能够在小户型有限的面积中实现空间利用最大化，使得小户型房子不那么的拥挤。</p><p><img data-src=""http://static.1sapp.com/qupost/image/20181015/d9/d9afd1a29c7084101ae4f314d33988fa09c1961d.jpg"" data-size=""431,429"" alt=""""></p><p>其实，小户型装修相对来说是非常难的，因为空间有限，很多我们喜欢的设计方案都不一定能够实施，实在是太浪费了。所以，在家居装修的设计上，需要花费加倍的精力。例如客厅装修，客厅装修不要买茶几了，聪明人都爱这样设计。</p><p>客厅中除了电视柜和沙发外，最占用面积的就是客厅中间的那一张茶几。中国人有爱喝茶的习惯，所以茶几的摆放是传统上一直有的，或者在茶几上摆上水果等等，作为客厅的摆设也是挺美观的，但确实是太占用空间了，客厅摆上茶几后所剩的活动空间不多，显得有些狭小，给人不适感。</p><p><img data-src=""http://static.1sapp.com/qupost/image/20181015/c0/c09f3e8f5dcd46089cbc74225585099762afdb4f.jpg"" data-size=""434,433"" alt=""""></p><p>正所谓“方法总比问题多。”现在人们已经设计出一套新的方案，针对小户型房子的客厅设计。就是摒弃传统的客厅茶几，因为现在年轻人很多都不爱喝茶，茶几的作用几乎都是收纳，摆放物件等。这样一来，茶几的作用相当于收纳柜了，那么，我们将客厅中间的收纳柜拿掉，在中间铺一张地毯，更加美观，小孩可以有更多的玩耍空间，大人也不会有压抑感。如果还需要收纳的话，还可以在客厅一边的墙壁上打造一个收纳柜，用来摆放杂物，还可以摆上一些设计物件，给客厅增添色彩。</p><p><img data-src=""http://static.1sapp.com/qupost/image/20181015/82/82256d06cc5f8f86127dc6d1dc5fec22b25daf72.jpg"" data-size=""408,317"" alt=""""></p><p>不过，如果将茶几摒弃了，换成地毯的话一定要注意定期清洁，否则脏了的地毯容易滋生细菌，这样对身体是不利的。</p>",2018-10-15 00:17:37,2018-10-15 00:17:37
44608208,925,杨铭,2,pass,recommend,856971,1,1021058139,办公桌上放此物，必定工资涨升，升官发财,,[],[],2,1,2018-10-15 00:25:18,38161138,856971,1021058139,"<p>通常来说，财运的好坏不单需平常努力奋斗，拼搏工作而来，其实办公室的风水好坏，或者物品摆设也会影响着财运。你们想要财源广进，大富大贵吗？那就跟我去看一看摆放哪些物品会使我们一路发财吧！</p><p><img data-src=""http://static.1sapp.com/qupost/image/20181015/4b/4b280b1f2f5022c597d5d1b0560f90703cb03233.jpg"" data-size=""500,444"" alt=""办公桌上放此物，必定工资涨升，升官发财""></p><p>一、风扇</p><p>在办公桌上摆放个小风扇，不仅使身心愉悦，还气通人心爽。在上班的时候打开小风扇，可以把附近的气场吹向自己，工作能够更加畅顺，自然而然人气就会提升，加薪升职，步步高升。</p><p><img data-src=""http://static.1sapp.com/qupost/image/20181015/2e/2ee0887ee543f60713c30dd67b388ab5e63a7ba5.jpg"" data-size=""500,435"" alt=""办公桌上放此物，必定工资涨升，升官发财""></p><p>二、玉白菜</p><p>白菜和“百财”是同一个意思，代表进财纳福。无论是白领、教师、记者、作家等等从事文职办公的同事都可以选择在办公桌上摆放一个精美绝伦的玉白菜，或者是白菜笔筒也可以。可以帮助调节自身的气场和人缘关系，让上头对自己刮目相看，加倍欣赏自己的才能，升官发财指日可待！</p><p><img data-src=""http://static.1sapp.com/qupost/image/20181015/b8/b8f5b56c9f39a6f6a612b6b4294d28313080e386.jpg"" data-size=""500,444"" alt=""办公桌上放此物，必定工资涨升，升官发财""></p><p>三、貔貅</p><p>这是传说中的神兽之一，话说貔貅有嘴无肛，嘴吞万物，只进不出，寓意着招财纳福。无论是商人还是普通人，在家中或是办公室安放貔貅，最好每天拿它摸一摸，沾沾它的财运，财运就会跟着滚滚来。貔貅还可以辟邪除妖，赶走歪风邪气。</p>",2018-10-15 00:24:58,2018-10-15 00:24:58
